"Step","final_run - loss_train","final_run - loss_train__MIN","final_run - loss_train__MAX"
"0","0.7436579465866089","0.7436579465866089","0.7436579465866089"
"50","0.6869385993480682","0.6869385993480682","0.6869385993480682"
"100","0.63201491355896","0.63201491355896","0.63201491355896"
"150","0.5917820978164673","0.5917820978164673","0.5917820978164673"
"200","0.5607250875234604","0.5607250875234604","0.5607250875234604"
"250","0.5209878361225129","0.5209878361225129","0.5209878361225129"
"300","0.4923954278230667","0.4923954278230667","0.4923954278230667"
"350","0.46519151151180266","0.46519151151180266","0.46519151151180266"
"400","0.4141730177402496","0.4141730177402496","0.4141730177402496"
"450","0.3784398245811462","0.3784398245811462","0.3784398245811462"
"500","0.31040409207344055","0.31040409207344055","0.31040409207344055"
"550","0.2133544059097767","0.2133544059097767","0.2133544059097767"
"600","0.19810855343937875","0.19810855343937875","0.19810855343937875"
"650","0.17212488234043122","0.17212488234043122","0.17212488234043122"
"700","0.13967459112405778","0.13967459112405778","0.13967459112405778"
"750","0.11525973379611969","0.11525973379611969","0.11525973379611969"
"800","0.08675157897174358","0.08675157897174358","0.08675157897174358"
"850","0.06789924480020999","0.06789924480020999","0.06789924480020999"
"900","0.062337720580399034","0.062337720580399034","0.062337720580399034"
"950","0.05393975405022502","0.05393975405022502","0.05393975405022502"
"1000","0.04634559977799654","0.04634559977799654","0.04634559977799654"
"1050","0.06094662610441446","0.06094662610441446","0.06094662610441446"
"1100","0.047170478757470845","0.047170478757470845","0.047170478757470845"
"1150","0.036152662988752124","0.036152662988752124","0.036152662988752124"
"1200","0.03906855385750532","0.03906855385750532","0.03906855385750532"
"1250","0.029653457142412663","0.029653457142412663","0.029653457142412663"
"1300","0.03177223737351596","0.03177223737351596","0.03177223737351596"
"1350","0.044574975930154324","0.044574975930154324","0.044574975930154324"
"1400","0.02701878760010004","0.02701878760010004","0.02701878760010004"
"1450","0.023086075661703943","0.023086075661703943","0.023086075661703943"
"1500","0.023253591423854233","0.023253591423854233","0.023253591423854233"
"1550","0.03288922909181565","0.03288922909181565","0.03288922909181565"
"1586","0.053609248250722885","0.053609248250722885","0.053609248250722885"
"1636","0.01749447893816978","0.01749447893816978","0.01749447893816978"
"1686","0.02139906998258084","0.02139906998258084","0.02139906998258084"
"1736","0.013392427987419069","0.013392427987419069","0.013392427987419069"
"1786","0.013224690861534327","0.013224690861534327","0.013224690861534327"
"1836","0.011025420348159969","0.011025420348159969","0.011025420348159969"
"1886","0.012852178649045526","0.012852178649045526","0.012852178649045526"
"1936","0.012583260621177032","0.012583260621177032","0.012583260621177032"
"1986","0.008982939061243088","0.008982939061243088","0.008982939061243088"
"2036","0.00958364371675998","0.00958364371675998","0.00958364371675998"
"2086","0.009800593599211425","0.009800593599211425","0.009800593599211425"
"2136","0.006991168698295951","0.006991168698295951","0.006991168698295951"
"2186","0.008183754980564117","0.008183754980564117","0.008183754980564117"
"2236","0.008042015652172267","0.008042015652172267","0.008042015652172267"
"2286","0.010684153507463634","0.010684153507463634","0.010684153507463634"
"2336","0.009353370463941246","0.009353370463941246","0.009353370463941246"
"2386","0.012831185697577893","0.012831185697577893","0.012831185697577893"
"2436","0.007465834898175672","0.007465834898175672","0.007465834898175672"
"2486","0.005567999340128154","0.005567999340128154","0.005567999340128154"
"2536","0.004921045410446823","0.004921045410446823","0.004921045410446823"
"2586","0.0059011031524278225","0.0059011031524278225","0.0059011031524278225"
"2636","0.0051309560966910795","0.0051309560966910795","0.0051309560966910795"
"2686","0.004988834168761969","0.004988834168761969","0.004988834168761969"
"2736","0.005534246171009727","0.005534246171009727","0.005534246171009727"
"2786","0.005123908853856846","0.005123908853856846","0.005123908853856846"
"2836","0.004709860067232512","0.004709860067232512","0.004709860067232512"
"2886","0.0046356243168702346","0.0046356243168702346","0.0046356243168702346"
"2936","0.004774292302899994","0.004774292302899994","0.004774292302899994"
"2986","0.0035721729480428623","0.0035721729480428623","0.0035721729480428623"
"3036","0.011206590635119938","0.011206590635119938","0.011206590635119938"
"3086","0.0094534716848284","0.0094534716848284","0.0094534716848284"
"3136","0.0035794779541902244","0.0035794779541902244","0.0035794779541902244"
"3172","0.0018323013791814446","0.0018323013791814446","0.0018323013791814446"
"3222","0.004086266789818183","0.004086266789818183","0.004086266789818183"
"3272","0.0029593656421639026","0.0029593656421639026","0.0029593656421639026"
"3322","0.0028782307769870384","0.0028782307769870384","0.0028782307769870384"
"3372","0.0031994593946728855","0.0031994593946728855","0.0031994593946728855"
"3422","0.0021677239891141654","0.0021677239891141654","0.0021677239891141654"
"3472","0.00975497009290848","0.00975497009290848","0.00975497009290848"
"3522","0.009819322790717707","0.009819322790717707","0.009819322790717707"
"3572","0.00625480349350255","0.00625480349350255","0.00625480349350255"
"3622","0.00695480529742781","0.00695480529742781","0.00695480529742781"
"3672","0.004351135328179225","0.004351135328179225","0.004351135328179225"
"3722","0.004586446298635565","0.004586446298635565","0.004586446298635565"
"3772","0.002935011928202584","0.002935011928202584","0.002935011928202584"
"3822","0.0018670532037504018","0.0018670532037504018","0.0018670532037504018"
"3872","0.002642485334072262","0.002642485334072262","0.002642485334072262"
"3922","0.0058073345152661205","0.0058073345152661205","0.0058073345152661205"
"3972","0.00366140203026589","0.00366140203026589","0.00366140203026589"
"4022","0.006644052049668971","0.006644052049668971","0.006644052049668971"
"4072","0.00400976634293329","0.00400976634293329","0.00400976634293329"
"4122","0.0072984826256288216","0.0072984826256288216","0.0072984826256288216"
"4172","0.002384787401824724","0.002384787401824724","0.002384787401824724"
"4222","0.0020549788688367697","0.0020549788688367697","0.0020549788688367697"
"4272","0.0029272632920765316","0.0029272632920765316","0.0029272632920765316"
"4322","0.00234993993275566","0.00234993993275566","0.00234993993275566"
"4372","0.003315105906513054","0.003315105906513054","0.003315105906513054"
"4422","0.011396527260076254","0.011396527260076254","0.011396527260076254"
"4472","0.003548017783614341","0.003548017783614341","0.003548017783614341"
"4522","0.0020868144936684986","0.0020868144936684986","0.0020868144936684986"
"4572","0.002721088986727409","0.002721088986727409","0.002721088986727409"
"4622","0.0033377973768801894","0.0033377973768801894","0.0033377973768801894"
"4672","0.01831777072220575","0.01831777072220575","0.01831777072220575"
"4722","0.009092280305630994","0.009092280305630994","0.009092280305630994"
"4758","0.0006383891450241208","0.0006383891450241208","0.0006383891450241208"
"4808","0.013300855402485467","0.013300855402485467","0.013300855402485467"
"4858","0.0026156071774312297","0.0026156071774312297","0.0026156071774312297"
"4908","0.0019544810528168456","0.0019544810528168456","0.0019544810528168456"
"4958","0.002345760552416323","0.002345760552416323","0.002345760552416323"
"5008","0.002620790251530707","0.002620790251530707","0.002620790251530707"
"5058","0.0018237075902288779","0.0018237075902288779","0.0018237075902288779"
"5108","0.0014053897670237348","0.0014053897670237348","0.0014053897670237348"
"5158","0.0015527837834815727","0.0015527837834815727","0.0015527837834815727"
"5208","0.00153234438286745","0.00153234438286745","0.00153234438286745"
"5258","0.0016747491720889229","0.0016747491720889229","0.0016747491720889229"
"5308","0.001550191410642583","0.001550191410642583","0.001550191410642583"
"5358","0.008011016394011677","0.008011016394011677","0.008011016394011677"
"5408","0.0022642117661598603","0.0022642117661598603","0.0022642117661598603"
"5458","0.0018137005073367617","0.0018137005073367617","0.0018137005073367617"
"5508","0.0018466115684714168","0.0018466115684714168","0.0018466115684714168"
"5558","0.0017070946536841803","0.0017070946536841803","0.0017070946536841803"
"5608","0.001495931970057427","0.001495931970057427","0.001495931970057427"
"5658","0.000840065818556468","0.000840065818556468","0.000840065818556468"
"5708","0.0008141150518349605","0.0008141150518349605","0.0008141150518349605"
"5758","0.0028505238082289","0.0028505238082289","0.0028505238082289"
"5808","0.0014300737423764075","0.0014300737423764075","0.0014300737423764075"
"5858","0.006134239237144357","0.006134239237144357","0.006134239237144357"
"5908","0.0013327855015813838","0.0013327855015813838","0.0013327855015813838"
"5958","0.0019411345606204122","0.0019411345606204122","0.0019411345606204122"
"6008","0.0017739717849326554","0.0017739717849326554","0.0017739717849326554"
"6058","0.0014503875382797559","0.0014503875382797559","0.0014503875382797559"
"6108","0.0008296006714226678","0.0008296006714226678","0.0008296006714226678"
"6158","0.0012042289062446799","0.0012042289062446799","0.0012042289062446799"
"6208","0.0008131259364745347","0.0008131259364745347","0.0008131259364745347"
"6258","0.0007890392967965454","0.0007890392967965454","0.0007890392967965454"
"6308","0.0021449166406455333","0.0021449166406455333","0.0021449166406455333"
"6344","0.00013287919864524156","0.00013287919864524156","0.00013287919864524156"
"6394","0.001142136894595751","0.001142136894595751","0.001142136894595751"
"6444","0.0006312170477212931","0.0006312170477212931","0.0006312170477212931"
"6494","0.0013977181186055532","0.0013977181186055532","0.0013977181186055532"
"6544","0.002295494256359234","0.002295494256359234","0.002295494256359234"
"6594","0.006316610178619158","0.006316610178619158","0.006316610178619158"
"6644","0.00279456899210345","0.00279456899210345","0.00279456899210345"
"6694","0.03853132799471495","0.03853132799471495","0.03853132799471495"
"6744","0.0031958573272277135","0.0031958573272277135","0.0031958573272277135"
"6794","0.005281740709033329","0.005281740709033329","0.005281740709033329"
"6844","0.009662546964827925","0.009662546964827925","0.009662546964827925"
"6894","0.009896923549531493","0.009896923549531493","0.009896923549531493"
"6944","0.0047674762041424405","0.0047674762041424405","0.0047674762041424405"
"6994","0.003813938526000129","0.003813938526000129","0.003813938526000129"
"7044","0.0013850122749863658","0.0013850122749863658","0.0013850122749863658"
"7094","0.010790047897244222","0.010790047897244222","0.010790047897244222"
"7144","0.0009562686525896424","0.0009562686525896424","0.0009562686525896424"
"7194","0.0026800723552150886","0.0026800723552150886","0.0026800723552150886"
"7244","0.0024182896864658686","0.0024182896864658686","0.0024182896864658686"
"7294","0.004396120609817445","0.004396120609817445","0.004396120609817445"
"7344","0.002547789753007237","0.002547789753007237","0.002547789753007237"
"7394","0.001082889597309986","0.001082889597309986","0.001082889597309986"
"7444","0.0012087316329416353","0.0012087316329416353","0.0012087316329416353"
"7494","0.0014539623680684599","0.0014539623680684599","0.0014539623680684599"
"7544","0.0005566490759520093","0.0005566490759520093","0.0005566490759520093"
"7594","0.0006860628045615158","0.0006860628045615158","0.0006860628045615158"
"7644","0.0005874431469783303","0.0005874431469783303","0.0005874431469783303"
"7694","0.0016236598787509138","0.0016236598787509138","0.0016236598787509138"
"7744","0.0013935741532804969","0.0013935741532804969","0.0013935741532804969"
"7794","0.0009218123762639153","0.0009218123762639153","0.0009218123762639153"
"7844","0.000931093133513059","0.000931093133513059","0.000931093133513059"
"7894","0.0006239231177642069","0.0006239231177642069","0.0006239231177642069"
"7930","0.0010628926102072","0.0010628926102072","0.0010628926102072"
"7980","0.0003491834324449883","0.0003491834324449883","0.0003491834324449883"
"8030","0.0005584226632890932","0.0005584226632890932","0.0005584226632890932"
"8080","0.0007028398874763298","0.0007028398874763298","0.0007028398874763298"
"8130","0.002238760994769109","0.002238760994769109","0.002238760994769109"
"8180","0.0006617499193816911","0.0006617499193816911","0.0006617499193816911"
"8230","0.00038486254117742647","0.00038486254117742647","0.00038486254117742647"
"8280","0.0006998066462438146","0.0006998066462438146","0.0006998066462438146"
"8330","0.0010086530840635532","0.0010086530840635532","0.0010086530840635532"
"8380","0.0004956151296210009","0.0004956151296210009","0.0004956151296210009"
"8430","0.0010459652796089359","0.0010459652796089359","0.0010459652796089359"
"8480","0.0022547207328898365","0.0022547207328898365","0.0022547207328898365"
"8530","0.00044206226028109085","0.00044206226028109085","0.00044206226028109085"
"8580","0.0012026864309336817","0.0012026864309336817","0.0012026864309336817"
"8630","0.0008390156900441071","0.0008390156900441071","0.0008390156900441071"
"8680","0.0032387463092891267","0.0032387463092891267","0.0032387463092891267"
"8730","0.0005950446401220688","0.0005950446401220688","0.0005950446401220688"
"8780","0.0006490661520365393","0.0006490661520365393","0.0006490661520365393"
"8830","0.00039331608373231573","0.00039331608373231573","0.00039331608373231573"
"8880","0.0025965466962043137","0.0025965466962043137","0.0025965466962043137"
"8930","0.0018866099756451149","0.0018866099756451149","0.0018866099756451149"
"8980","0.0017960083228899747","0.0017960083228899747","0.0017960083228899747"
"9030","0.0020387275311441046","0.0020387275311441046","0.0020387275311441046"
"9080","0.0008931340877552429","0.0008931340877552429","0.0008931340877552429"
"9130","0.0009638107745013258","0.0009638107745013258","0.0009638107745013258"
"9180","0.0011329265909080276","0.0011329265909080276","0.0011329265909080276"
"9230","0.0004987392426210136","0.0004987392426210136","0.0004987392426210136"
"9280","0.0012627386035455857","0.0012627386035455857","0.0012627386035455857"
"9330","0.0004980462543971953","0.0004980462543971953","0.0004980462543971953"
"9380","0.006025642743279605","0.006025642743279605","0.006025642743279605"
"9430","0.008775551712751621","0.008775551712751621","0.008775551712751621"
"9480","0.0017125615677468886","0.0017125615677468886","0.0017125615677468886"
"9516","0.00023688485089223832","0.00023688485089223832","0.00023688485089223832"
"9566","0.004027795644760772","0.004027795644760772","0.004027795644760772"
"9616","0.0012174014583433744","0.0012174014583433744","0.0012174014583433744"
"9666","0.0007834919327069656","0.0007834919327069656","0.0007834919327069656"
"9716","0.0009049628607317573","0.0009049628607317573","0.0009049628607317573"
"9766","0.0020491934088931883","0.0020491934088931883","0.0020491934088931883"
"9816","0.001832172713620821","0.001832172713620821","0.001832172713620821"
"9866","0.0004885526546786423","0.0004885526546786423","0.0004885526546786423"
"9916","0.0008485032311182295","0.0008485032311182295","0.0008485032311182295"
"9966","0.0007138314804342372","0.0007138314804342372","0.0007138314804342372"
"10016","0.0009184103739062265","0.0009184103739062265","0.0009184103739062265"
"10066","0.0011093040273408405","0.0011093040273408405","0.0011093040273408405"
"10116","0.0006449191291903844","0.0006449191291903844","0.0006449191291903844"
"10166","0.0023148225716431627","0.0023148225716431627","0.0023148225716431627"
"10216","0.0006085340859408461","0.0006085340859408461","0.0006085340859408461"
"10266","0.00021368232839449774","0.00021368232839449774","0.00021368232839449774"
"10316","0.0013099562450952361","0.0013099562450952361","0.0013099562450952361"
"10366","0.0009360749379266054","0.0009360749379266054","0.0009360749379266054"
"10416","0.0004909251479784871","0.0004909251479784871","0.0004909251479784871"
"10466","0.000532972619166685","0.000532972619166685","0.000532972619166685"
"10516","0.001099362166969513","0.001099362166969513","0.001099362166969513"
"10566","0.0008745528076542541","0.0008745528076542541","0.0008745528076542541"
"10616","0.000691232029321327","0.000691232029321327","0.000691232029321327"
"10666","0.0004861916662912336","0.0004861916662912336","0.0004861916662912336"
"10716","0.0007530342940208356","0.0007530342940208356","0.0007530342940208356"
"10766","0.0003185966678256591","0.0003185966678256591","0.0003185966678256591"
"10816","0.0005068272148901087","0.0005068272148901087","0.0005068272148901087"
"10866","0.0014035360323123313","0.0014035360323123313","0.0014035360323123313"
"10916","0.0004012710593019619","0.0004012710593019619","0.0004012710593019619"
"10966","0.000444116419207603","0.000444116419207603","0.000444116419207603"
"11016","0.00020764986750236857","0.00020764986750236857","0.00020764986750236857"
"11066","0.0006949538916251186","0.0006949538916251186","0.0006949538916251186"
"11102","0.000048279162001563236","0.000048279162001563236","0.000048279162001563236"
"11152","0.000434460457829573","0.000434460457829573","0.000434460457829573"
"11202","0.0006753573529204005","0.0006753573529204005","0.0006753573529204005"
"11252","0.0006259166031577479","0.0006259166031577479","0.0006259166031577479"
"11302","0.0006850671055781277","0.0006850671055781277","0.0006850671055781277"
"11352","0.0006767811623831221","0.0006767811623831221","0.0006767811623831221"
"11402","0.0005166243612256949","0.0005166243612256949","0.0005166243612256949"
