"Step","final_run - EER_val","final_run - EER_val__MIN","final_run - EER_val__MAX"
"1586","0.2808861393360855","0.2808861393360855","0.2808861393360855"
"3172","0.004485109436670255","0.004485109436670255","0.004485109436670255"
"4758","0.5505595050804954","0.5505595050804954","0.5505595050804954"
"6344","0.039806226373964346","0.039806226373964346","0.039806226373964346"
"7930","0","0","0"
"9516","0.039806226373964346","0.039806226373964346","0.039806226373964346"
"11102","0","0","0"
"12688","0.0022425547183351274","0.0022425547183351274","0.0022425547183351274"
"14274","0.039806226373964346","0.039806226373964346","0.039806226373964346"
"15860","0.006727664155005381","0.006727664155005381","0.006727664155005381"
"17446","0.006727664155005381","0.006727664155005381","0.006727664155005381"
"19032","0","0","0"
"20618","0.039806226373964346","0.039806226373964346","0.039806226373964346"
"22204","0","0","0"
"23790","0.0022425547183351274","0.0022425547183351274","0.0022425547183351274"
"25376","0.0022425547183351274","0.0022425547183351274","0.0022425547183351274"
"26962","0","0","0"
"28548","0","0","0"
"30134","0","0","0"
"31720","0","0","0"
